from_date,to_date,directory,sign_id
2016-08-13,2017-02-10,sfmta_2017-02-10,105
2016-06-04,2016-08-12,sfmta_2016-08-12,105
2016-04-23,2016-06-03,sfmta_2016-06-03,102
2015-09-26,2016-04-22,sfmta_2016-04-22,100
